OrderID,OrderPrice
10248,440.00
10249,1863.40
10250,1813.00
10251,670.80
10252,3730.00
10253,1444.80
10254,625.20
10255,2490.50
10256,517.80
10257,1119.90
10258,2018.60
10259,100.80
10260,1746.20
10261,448.00
10262,624.80
10263,2464.80
10264,724.50
10265,1176.00
10266,364.80
10267,4031.00
10268,1101.20
10269,676.00
10270,1376.00
10271,48.00
10272,1456.00
10273,2142.40
10274,538.60
10275,307.20
10276,420.00
10277,1200.80
10278,1488.80
10279,468.00
10280,613.20
10281,86.50
10282,155.40
10283,1414.80
10284,1452.00
10285,2179.20
10286,3016.00
10287,924.00
10288,89.00
10289,479.40
10290,2169.00
10291,552.80
10292,1296.00
10293,848.70
10294,1887.60
10295,121.60
10296,1050.60
10297,1420.00
10298,3127.00
10299,349.50
10300,608.00
10301,755.00
10302,2708.80
10303,1242.00
10304,954.40
10305,4157.00
10306,498.50
10307,424.00
10308,88.80
10309,1762.00
10310,336.00
10311,268.80
10312,1614.80
10313,182.40
10314,2327.00
10315,516.80
10316,2835.00
10317,288.00
10318,240.40
10319,1191.20
10320,516.00
10321,144.00
10322,112.00
10323,164.40
10324,6155.90
10325,1497.00
10326,982.00
10327,2262.50
10328,1168.00
10329,4819.40
10330,1940.00
10331,88.50
10332,2233.60
10333,954.00
10334,144.80
10335,2545.20
10336,316.80
10337,2467.00
10338,934.50
10339,3463.20
10340,2564.40
10341,412.00
10342,2300.80
10343,1586.00
10344,2856.00
10345,2924.80
10346,1731.20
10347,928.00
10348,396.00
10349,141.60
10350,713.40
10351,5677.60
10352,154.00
10353,10741.60
10354,568.80
10355,480.00
10356,1106.40
10357,1360.00
10358,452.00
10359,3654.40
10360,7390.20
10361,2273.60
10362,1549.60
10363,447.20
10364,950.00
10365,403.20
10366,136.00
10367,834.20
10368,1834.20
10369,2527.20
10370,1174.00
10371,91.20
10372,12281.20
10373,1708.00
10374,459.00
10375,338.00
10376,420.00
10377,1016.00
10378,103.20
10379,959.20
10380,1419.80
10381,112.00
10382,2900.00
10383,899.00
10384,2222.40
10385,864.00
10386,166.00
10387,1058.40
10388,1274.00
10389,1832.80
10390,2275.20
10391,86.40
10392,1440.00
10393,3302.60
10394,442.00
10395,2333.20
10396,1903.80
10397,843.20
10398,2736.00
10399,1765.60
10400,3063.00
10401,3868.60
10402,2713.50
10403,1005.90
10404,1675.00
10405,400.00
10406,2018.20
10407,1194.00
10408,1622.40
10409,319.20
10410,802.00
10411,1208.50
10412,372.00
10413,2123.20
10414,231.40
10415,102.40
10416,720.00
10417,11283.20
10418,1814.80
10419,2208.00
10420,1897.60
10421,1273.20
10422,49.80
10423,1020.00
10424,11493.20
10425,480.00
10426,338.20
10427,651.00
10428,192.00
10429,1748.50
10430,5796.00
10431,2523.00
10432,485.00
10433,851.20
10434,360.00
10435,631.60
10436,2210.80
10437,393.00
10438,567.50
10439,1078.00
10440,5793.10
10441,1755.00
10442,1792.00
10443,537.60
10444,1031.70
10445,174.90
10446,273.60
10447,914.40
10448,443.40
10449,1838.20
10450,531.40
10451,4277.40
10452,2096.00
10453,453.00
10454,414.00
10455,2684.00
10456,656.00
10457,1584.00
10458,3891.00
