OrderID,OrderPrice
10324,6155.90
10351,5677.60
10353,10741.60
10360,7390.20
10372,12281.20
10417,11283.20
10424,11493.20
10430,5796.00
10440,5793.10
10479,10495.60
10514,8623.45
10515,10588.50
10540,10191.70
10595,6300.00
10607,6475.40
10612,6375.00
10616,5032.00
10633,6483.05
10678,5256.50
10687,6201.90
10691,10164.80
10776,6984.50
10816,8891.00
10817,11490.70
10847,6164.90
10865,17250.00
10889,11380.00
10893,5502.11
10895,6379.40
10897,10835.24
10912,8267.40
10981,15810.00
10993,6527.25
11017,6750.00
11021,6941.49
11030,16321.90
11032,8902.50
11072,5218.00
